"task","quantity","method","rate","mean_int","coverage","rmse","bias","width","nrep"
"cr","CIF[1]","MI",0.3,4.04789756112139,0.873333333333333,0.0254838118351603,-0.0159407069924941,0.0724448785090787,600
"cr","CIF[1]","MI",0.6,2.69820639974578,0.941666666666667,0.0188273411144931,-0.00320048736827358,0.0700954440383307,600
"cr","CIF[1]","MI",1.5,1.24674171034852,0.948333333333333,0.017980956974778,0.000688734459535408,0.0679022337209728,600
"cr","CIF[1]","midpoint",0.3,4.04789756112139,0.57,0.0312400580743958,-0.0231523616629881,0.0626537053396073,600
"cr","CIF[1]","midpoint",0.6,2.69820639974578,0.901666666666667,0.019989015917614,-0.00693256358851244,0.063905584389263,600
"cr","CIF[1]","midpoint",1.5,1.24674171034852,0.941666666666667,0.0179536046530587,0.00147222864410502,0.0652396976249037,600
"cr","CIF[1]","oracle",0.3,4.04789756112139,0.943333333333333,0.0171821085374509,-0.000104177578456026,0.0650675773113665,600
"cr","CIF[1]","oracle",0.6,2.69820639974578,0.943333333333333,0.0172330268393243,0.00150796989677579,0.0651651906905848,600
"cr","CIF[1]","oracle",1.5,1.24674171034852,0.953333333333333,0.0181136264921767,0.00212082963326183,0.0645661697532628,600
"cr","CIF[2]","MI",0.3,4.04789756112139,0.923333333333333,0.0156336320086251,-0.00635737855221649,0.0528976521740475,600
"cr","CIF[2]","MI",0.6,2.69820639974578,0.945,0.0133909713558778,-0.00105944027116685,0.0504851025099294,600
"cr","CIF[2]","MI",1.5,1.24674171034852,0.94,0.0131435983487863,-0.000743627485081893,0.0461169081440633,600
"cr","CIF[2]","midpoint",0.3,4.04789756112139,0.808333333333333,0.0159643780709368,-0.00717272012344628,0.0467762145605734,600
"cr","CIF[2]","midpoint",0.6,2.69820639974578,0.93,0.0132028296247551,-0.00085688027782877,0.0468030605821029,600
"cr","CIF[2]","midpoint",1.5,1.24674171034852,0.956666666666667,0.0129163481486239,0.000113811204675918,0.0461254164617603,600
"cr","CIF[2]","oracle",0.3,4.04789756112139,0.941666666666667,0.0119782041191746,-0.000845733822536542,0.0436665516136106,600
